,datetime,Open,High,Low,Close,Volume,sp
0,1531659600,6351.928,6351.928,6329.4,6329.4,602.0402,3816427.0
1,1531663200,6329.3,6352.0,6323.7,6351.6,441.59616,2798323.0
2,1531666800,6351.7,6357.6,6333.6,6341.9,260.7488,1654267.2
3,1531670400,6342.0,6380.8,6341.9,6375.0,662.02875,4214043.0
4,1531674000,6375.0,6389.0,6366.5,6384.3,457.4271,2917020.8
5,1531677600,6384.3,6385.6,6356.6,6377.8,631.47656,4024011.5
6,1531681200,6377.7,6377.8,6350.0,6350.7,322.17914,2048879.1
7,1531684800,6350.8,6367.1,6350.7,6359.0,232.35178,1477147.2
8,1531688400,6359.0,6377.0,6355.3,6376.674,275.75275,1754544.6
9,1531692000,6376.9,6380.8,6372.8,6380.0,213.05168,1358869.8
10,1531695600,6380.0,6389.0,6351.2,6362.8,518.4158,3301692.5
11,1531699200,6362.9,6371.2,6336.2,6347.2,291.37326,1849714.1
12,1531702800,6347.2,6372.7,6346.9,6349.3,430.68008,2739312.5
13,1531706400,6350.0,6354.4,6343.6,6344.1,126.02167,799914.4
14,1531710000,6344.0,6350.7,6327.1,6350.7,346.73523,2197750.8
15,1531713600,6350.6,6361.0,6350.6,6358.5,122.74973,780348.9
16,1531717200,6358.5,6358.6,6349.8,6349.9,117.259636,745058.06
17,1531720800,6349.9,6360.8,6349.9,6360.0,160.5271,1020298.3
18,1531724400,6360.0,6377.7,6360.0,6364.3,408.02475,2598214.5
19,1531728000,6364.2,6365.0,6352.0,6360.5005,339.24274,2157651.0
20,1531731600,6360.5,6398.7,6350.0,6369.9,1111.1208,7085115.5
21,1531735200,6369.9,6540.0,6368.9,6529.8,6365.0273,41221260.0
22,1531738800,6527.5,6562.3,6501.1,6545.0,2520.2896,16453237.0
23,1531742400,6545.0,6671.6,6529.8,6627.6,4056.2075,26804792.0
24,1531746000,6627.9,6637.4,6592.8945,6602.2,1429.4883,9452900.0
25,1531749600,6602.1,6620.1,6576.9,6593.1,1551.107,10234449.0
26,1531753200,6593.0,6635.0,6589.1,6630.4,989.5252,6548237.5
27,1531756800,6630.426,6650.0,6614.3,6635.0,850.0914,5639706.5
28,1531760400,6635.0,6652.2,6620.0,6620.1,669.5326,4443321.0
29,1531764000,6620.5,6711.0,6620.3,6671.3,2524.334,16872446.0
30,1531767600,6671.2,6703.7,6665.8,6671.1,821.73773,5490766.0
31,1531771200,6671.1,6689.6,6636.7,6681.1,857.2976,5707303.5
32,1531774800,6680.8,6680.9,6660.0,6665.9,209.30081,1396305.5
33,1531778400,6665.9,6680.6,6648.0,6675.8,335.49707,2235877.0
34,1531782000,6672.7,6694.0,6661.3,6674.3,906.0474,6046835.5
35,1531785600,6674.3,6750.0,6670.0,6729.2,1569.048,10532582.0
36,1531789200,6729.3,6771.0,6682.0,6740.1,1865.5529,12551062.0
37,1531792800,6740.0,6748.0,6708.0,6723.0,412.1192,2773100.8
38,1531796400,6723.0,6738.0,6716.8,6737.9,263.66766,1773948.0
39,1531800000,6738.0,6745.9,6735.0,6742.1,410.49725,2766820.0
40,1531803600,6742.1,6759.1,6709.0,6710.9,626.7628,4216096.0
41,1531807200,6710.9,6715.7,6679.3,6695.6,1120.7086,7511000.0
42,1531810800,6695.6,6702.874,6667.4,6675.8,659.7922,4409213.5
43,1531814400,6675.8,6701.6,6675.8,6693.97,221.20941,1479414.2
44,1531818000,6694.0,6744.0,6693.9,6718.8,1002.45667,6740045.5
45,1531821600,6719.9,6724.4,6700.0,6700.274,291.64438,1956543.8
46,1531825200,6700.274,6726.9,6700.0,6715.2183,381.2295,2557755.5
47,1531828800,6715.2183,6724.3,6682.9,6688.0,631.16113,4231824.5
48,1531832400,6688.0,6708.0,6666.0,6702.2,1767.5057,11825997.0
49,1531836000,6702.3,6702.3,6683.0,6695.3,358.50888,2400329.5
50,1531839600,6695.3,6750.0,6695.3,6718.9,817.25995,5497579.0
51,1531843200,6719.0,6796.0,6718.9,6781.6304,1600.3258,10820444.0
52,1531846800,6781.7,6782.2,6739.6,6760.1,869.7411,5881309.5
53,1531850400,6760.0,7274.0,6752.2,7190.2,13125.0,92573920.0
54,1531854000,7190.2,7483.9,7157.7,7344.5,11316.796,83278296.0
55,1531857600,7344.6,7378.0,7301.0,7304.1,1637.1388,12019936.0
56,1531861200,7305.1,7328.5,7302.7,7321.3,1204.8226,8816930.0
57,1531864800,7322.6,7387.433,7320.0,7354.9,1653.1239,12159062.0
58,1531868400,7355.0,7373.5,7271.6,7313.4,2090.7178,15324273.0
59,1531872000,7314.1,7336.3,7306.6,7319.8,699.86615,5125186.5
60,1531875600,7319.8,7374.4,7319.6,7345.8,651.2803,4785240.0
61,1531879200,7345.9,7353.4,7325.0,7341.2,587.0779,4311200.5
62,1531882800,7341.2,7450.0,7341.2,7409.0,1581.5641,11683845.0
63,1531886400,7409.1,7561.869,7409.1,7462.9546,3116.2134,23346326.0
64,1531890000,7462.9546,7472.4,7411.2,7432.9,616.7725,4583337.0
65,1531893600,7433.0,7471.9,7412.8,7461.0,851.59827,6334066.5
66,1531897200,7460.9,7479.0,7450.112,7465.7,771.3384,5759080.5
67,1531900800,7467.0,7471.1,7411.0,7435.3,970.56726,7215308.5
68,1531904400,7435.4,7435.4,7323.6,7367.4,1786.359,13151972.0
69,1531908000,7369.4,7392.0,7363.9,7390.0,959.8929,7085300.5
70,1531911600,7390.0,7425.4,7375.1,7399.0,953.58636,7060453.5
71,1531915200,7399.0,7433.9,7397.0,7420.3,1136.0629,8422992.0
72,1531918800,7420.3,7473.9,7419.0,7440.0,1362.7045,10151913.0
73,1531922400,7440.0,7462.0,7387.9,7455.7,1800.617,13376472.0
74,1531926000,7455.7,7529.2,7427.2,7449.9126,2531.2285,18914280.0
75,1531929600,7449.9,7450.0,7379.0,7425.0,1410.3862,10447140.0
76,1531933200,7425.0,7450.7,7413.0957,7433.7,562.76526,4183397.0
77,1531936800,7433.8,7513.1,7432.0,7507.6,765.6628,5719652.0
78,1531940400,7507.5,7588.0,7401.0,7434.7,4621.9307,34664444.0
79,1531944000,7434.7,7450.0,7345.0,7391.6895,2463.77,18196372.0
80,1531947600,7391.6895,7392.6,7246.5,7338.1,4291.702,31346182.0
81,1531951200,7338.1,7359.0,7305.0,7331.0,453.13147,3326151.2
82,1531954800,7331.0,7384.6,7280.0,7367.6,1147.599,8416941.0
83,1531958400,7366.8,7398.9,7348.0,7379.4,643.85516,4748446.5
84,1531962000,7379.7,7379.9,7310.6,7344.4,343.48752,2523979.0
85,1531965600,7343.2744,7343.2744,7281.4,7304.3003,669.0263,4890583.5
86,1531969200,7304.3,7335.9,7291.0,7325.011,239.30887,1750368.9
